donor1	donor2	donor4	donor8	donor5	donor6	donor3	donor7	CellType	Region
484	350	111	380	230	0	0	0	Astro_A	amy
7	10	12	5	49	0	0	0	Astro_B	amy
4	0	880	4	179	0	0	0	drop.lowNTx_A	amy
20	2	13	11	25	0	0	0	drop.lowNTx_B	amy
0	0	7	3	21	0	0	0	Endo	amy
106	203	14	16	5	0	0	0	Excit_A	amy
0	39	0	5	0	0	0	0	Excit_B	amy
5	43	7	0	0	0	0	0	Excit_C	amy
0	0	362	0	366	0	0	0	Inhib_A	amy
36	115	245	74	71	0	0	0	Inhib_B	amy
128	17	85	11	284	0	0	0	Inhib_C	amy
36	75	271	49	124	0	0	0	Inhib_D	amy
0	0	7	2	405	0	0	0	Inhib_E	amy
24	68	81	7	36	0	0	0	Inhib_F	amy
0	0	9	1	76	0	0	0	Inhib_G	amy
0	0	2	0	50	0	0	0	Inhib_H	amy
411	304	117	355	14	0	0	0	Micro	amy
2	0	7	6	24	0	0	0	Mural	amy
1688	1736	309	2043	304	0	0	0	Oligo	amy
340	290	93	537	199	0	0	0	OPC	amy
3	7	3	15	3	0	0	0	Tcell	amy
371	137	0	0	0	274	0	0	Astro	dlpfc
111	120	0	0	0	298	0	0	Excit_A	dlpfc
75	154	0	0	0	544	0	0	Excit_B	dlpfc
44	155	0	0	0	325	0	0	Excit_C	dlpfc
22	27	0	0	0	83	0	0	Excit_D	dlpfc
77	25	0	0	0	85	0	0	Excit_E	dlpfc
102	36	0	0	0	105	0	0	Excit_F	dlpfc
39	89	0	0	0	205	0	0	Inhib_A	dlpfc
98	106	0	0	0	250	0	0	Inhib_B	dlpfc
47	56	0	0	0	262	0	0	Inhib_C	dlpfc
119	78	0	0	0	216	0	0	Inhib_D	dlpfc
2	2	0	0	0	3	0	0	Inhib_E	dlpfc
0	1	0	0	0	7	0	0	Inhib_F	dlpfc
1	3	0	0	0	6	0	0	Macrophage	dlpfc
152	92	0	0	0	144	0	0	Micro	dlpfc
3	2	0	0	0	13	0	0	Mural	dlpfc
2754	517	0	0	0	2184	0	0	Oligo	dlpfc
196	91	0	0	0	285	0	0	OPC	dlpfc
2	2	0	0	0	5	0	0	Tcell	dlpfc
424	375	0	0	0	0	137	0	Astro_A	hpc
83	125	0	0	0	0	26	0	Astro_B	hpc
4	1	0	0	0	0	0	0	drop.doublet	hpc
42	54	0	0	0	0	9	0	drop.lowNTx_A	hpc
9	5	0	0	0	0	5	0	drop.lowNTx_B	hpc
4	9	0	0	0	0	74	0	Excit_A	hpc
118	291	0	0	0	0	12	0	Excit_B	hpc
1	0	0	0	0	0	5	0	Excit_C	hpc
2	1	0	0	0	0	32	0	Excit_D	hpc
6	0	0	0	0	0	0	0	Excit_E	hpc
1	23	0	0	0	0	5	0	Excit_F	hpc
4	2	0	0	0	0	0	0	Excit_G	hpc
33	0	0	0	0	0	0	0	Excit_H	hpc
166	76	0	0	0	0	58	0	Inhib_A	hpc
30	0	0	0	0	0	0	0	Inhib_B	hpc
2	2	0	0	0	0	1	0	Inhib_C	hpc
4	11	0	0	0	0	16	0	Inhib_D	hpc
487	481	0	0	0	0	193	0	Micro	hpc
20	19	0	0	0	0	4	0	Mural	hpc
2586	2235	0	0	0	0	1091	0	Oligo	hpc
374	255	0	0	0	0	194	0	OPC	hpc
7	3	0	0	0	0	5	0	OPC_COP	hpc
14	9	0	0	0	0	3	0	Tcell	hpc
27	5	56	0	8	0	3	0	Astro_A	nac
115	377	294	33	173	0	8	0	Astro_B	nac
8	2	19	0	6	0	1	0	drop.doublet_A	nac
3	3	28	0	14	0	4	0	drop.doublet_B	nac
0	0	0	0	0	18	0	23	drop.doublet_C	nac
0	1	14	0	3	0	3	0	drop.doublet_D	nac
5	14	30	366	81	5	4	24	drop.lowNTx	nac
10	8	26	15	29	58	4	101	Inhib_A	nac
0	0	4	4	3	6	0	23	Inhib_B	nac
4	2	11	1	4	40	3	33	Inhib_C	nac
4	5	24	13	4	128	6	56	Inhib_D	nac
1	3	6	0	6	5	0	16	Inhib_E	nac
4	7	4	4	2	0	1	0	Macrophage	nac
66	59	222	15	33	0	34	0	Micro	nac
3	33	5	0	22	0	0	0	Micro_resting	nac
96	129	258	41	419	1680	35	1269	MSN.D1_A	nac
4	2	0	7	1	64	0	161	MSN.D1_B	nac
8	22	2	2	21	4	0	224	MSN.D1_C	nac
27	26	111	1	108	173	5	267	MSN.D1_D	nac
15	6	30	51	15	255	6	260	MSN.D1_E	nac
2	0	2	9	2	10	0	61	MSN.D1_F	nac
95	101	252	57	488	1819	29	1421	MSN.D2_A	nac
9	7	36	7	58	29	5	134	MSN.D2_B	nac
9	3	18	5	15	131	3	130	MSN.D2_C	nac
3	0	0	0	2	0	0	53	MSN.D2_D	nac
237	50	247	0	385	0	69	0	Oligo_A	nac
1202	804	2186	10	523	0	421	0	Oligo_B	nac
98	104	209	6	200	0	34	0	OPC	nac
0	0	14	0	1	0	3	0	OPC_COP	nac
87	390	224	38	8	0	0	0	Astro_A	sacc
85	19	28	5	23	0	0	0	Astro_B	sacc
8	13	7	0	0	0	0	0	drop.doublet	sacc
6	4	13	22	253	0	0	0	drop.lowNTx	sacc
79	189	175	367	46	0	0	0	Excit_A	sacc
110	165	108	133	59	0	0	0	Excit_B	sacc
113	257	474	771	120	0	0	0	Excit_C	sacc
65	85	61	80	20	0	0	0	Excit_D	sacc
28	107	57	210	26	0	0	0	Excit_E	sacc
60	24	84	19	41	0	0	0	Excit_F	sacc
2	0	4	20	4	0	0	0	Excit_G	sacc
34	108	168	476	56	0	0	0	Inhib_A	sacc
87	212	180	407	26	0	0	0	Inhib_B	sacc
34	117	80	205	29	0	0	0	Inhib_C	sacc
17	44	65	223	35	0	0	0	Inhib_D	sacc
11	19	61	213	26	0	0	0	Inhib_E	sacc
30	70	111	286	24	0	0	0	Inhib_F	sacc
4	26	41	124	11	0	0	0	Inhib_G	sacc
14	40	29	108	17	0	0	0	Inhib_H	sacc
2	15	4	17	1	0	0	0	Inhib_I	sacc
0	6	6	28	2	0	0	0	Inhib_J	sacc
0	0	7	14	4	0	0	0	Inhib_K	sacc
232	243	292	14	3	0	0	0	Micro	sacc
1	0	9	0	10	0	0	0	Neu_FAT2.CDH15	sacc
1833	1408	1132	12	4	0	0	0	Oligo_A	sacc
3	5	184	0	3	0	0	0	Oligo_B	sacc
229	314	355	13	0	0	0	0	OPC	sacc
