"","Excit.ambig","Excit.ambig_pt","Excit.L2:3","Excit.L2:3_pt","Excit.L3:4","Excit.L3:4_pt","Excit.L4:5","Excit.L4:5_pt","Excit.L5","Excit.L5_pt","Excit.L5:6","Excit.L5:6_pt","Excit.L6.broad","Excit.L6.broad_pt","Inhib.1","Inhib.1_pt","Inhib.2","Inhib.2_pt","Inhib.3","Inhib.3_pt","Inhib.4","Inhib.4_pt","Inhib.5","Inhib.5_pt","Inhib.6","Inhib.6_pt"
"1","WFDC10A","WFDC10A","AC009093.4","CLEC10A","PROP1","PROP1","RHO","RHO","CD200R1L","CD200R1L","AC092114.1","TNIP3","SMIM32","SMIM32","AC011396.1","TCF15","FAM204A","FAM204A","CARD10","CARD10","AC006974.2","MEPE","LINC01687","SLC9A4","CHRNA2","CHRNA2"
"2","WFDC9","WFDC9","AC105393.1","KRTAP5-9","OR10G4","OR10G4","LINC02553","ADGRF4","LINC02042","MROH2A","LINC01735","SMPDL3B","AC122719.2","SMYD1","AL445489.1","TNNI3","WDR75","WDR75","AL157702.2","IBSP","MEPE","AKAIN1","SLC9A4","OR2J3","PLSCR5","PLSCR5"
"3","LINC01734","EDN3","AL731544.1","ELANE","AL159169.3","TFAP2D","ADGRF4","EEF1AKMT3","LINC02487","IL26","AC007179.1","PSG7","SMYD1","SFTPA1","C1QTNF1-AS1","DYNAP","NUP98","NUP98","IBSP","COL15A1","MIR3663HG","MS4A2","OR2J3","OR2H1","VIP","VIP"
"4","AC026427.1","NCBP2L","CLEC10A","CARTPT","TFAP2D","OR11G2","LINC01712","METTL21C","MROH2A","ALX3","AL133481.3","OTOL1","AL358779.1","FAM72C","NMBR-AS1","GOLGA8K","ATF1","ATF1","COL15A1","NOG","AC103982.1","MTFP1","OR2H1","OR14J1","LINC01850","SLC6A2"
"5","LINC00456","PABPN1L","AC112229.2","DMRTC2","AC104076.1","BHLHE22","LINC01640","TDRD1","AP003100.1","PIWIL1","AC000061.1","FIBCD1","LINC02536","KNCN","AL109767.1","PROK2","FBXL18","FBXL18","AC106874.1","SRL","AKAIN1","GRXCR2","OR14J1","DSP","SLC6A2","CALB2"
"6","AL137804.1","RBBP8NL","AC133794.1","CLEC6A","AC110792.3","CDK1","BX072579.1","CD209","IL26","EPHA1","AC012506.2","CTGF","AC010401.1","CD52","LINC02183","CER1","PDZD8","PDZD8","NOG","PVALB","AL137002.2","CCL26","AC113347.4","DEPDC1","AC087477.2","NTS"
"7","AP002414.5","PPDPFL","KRTAP5-9","FAM187B","LINC01781","SH3BP1","EEF1AKMT3","KLK12","ALX3","PRR29","TNIP3","NPFFR2","AC084809.1","GJB4","TCF15","NLRP2B","FASTK","FASTK","AC084855.1","APOH","MS4A2","LRRC38","AF096876.1","HPGD","LINC01583","SIX3"
"8","AL008638.2","LBHD2","AC116345.1","OR1L6","AC092810.3","TCN1","AC105031.3","RHEX","PIWIL1","PDLIM1","SMPDL3B","KRT31","LINC01104","ZNF280A","LINC01936","AVPR1A","FNDC3A","FNDC3A","SRL","ANKRD34B","MTFP1","OR51E2","LINC02535","PDCL2","AJ006995.1","PSKH2"
"9","EDN3","C1orf116","AC108102.1","ALOX15B","OR11G2","SPAM1","METTL21C","PSG3","AC009486.1","CLDN6","PSG7","AL136373.1","SFTPA1","AC008763.3","TNNI3","NDNF","VPS26B","VPS26B","AP006295.1","TCL1A","AL121935.1","CKM","DSP","LRRC3","CALB2","EREG"
"10","AC096543.1","TLX2","ELANE","FAM237B","AC003070.2","FOLR3","TDRD1","LY6D","AL161782.1","PTGER1","MIR194-2HG","KL","FAM72C","DBH","DYNAP","GALP","CD6","CD6","PVALB","RAD51","AC005757.1","DPPA3","AC091564.6","BLK","AC024337.2","RGS13"
"11","NCBP2L","C16orf92","CARTPT","NEK2","LINC01465","ARG1","AC092484.1","GAL","EPHA1","AL583836.1","AC092954.1","IRGM","KNCN","AGTR1","AC016738.2","ISY1","LRRC40","LRRC40","PACERR","GOLGA6A","IGF2BP2-AS1","MYLK2","DEPDC1","TNFSF15","AC087311.2","PKP2"
"12","LINC00545","OR6N2","DMRTC2","PLEKHS1","BHLHE22","GMNC","AC090044.1","ASIC5","AP005436.2","GNAT3","OTOL1","RAMP3","AP006621.1","IL19","AL139819.1","NOX3","IPO7","IPO7","LINC01570","GOSR2","AC008494.3","C2orf71","AC126773.2","GATA3","AL390037.1","VWA5B1"
"13","PABPN1L","TEX50","AC016598.2","KIF4B","CDK1","MAPK15","AC113349.1","HSD3B2","PRR29","RFPL3","AC003958.2","TMC3","AC006206.2","AC006486.1","AL450270.1","CDRT4","TP63","TP63","AC006065.4","ANXA2","AL389885.1","CEACAM20","HPGD","AC008764.4","AC083967.1","NMUR1"
"14","RBBP8NL","OR2T35","AC005486.1","BIK","FP325330.2","SLC33A1","CD209","COL13A1","LINC02543","CCDC80","AC021382.1","KRT17","CD52","TMEM244","AC104316.2","TOP2A","EXT2","EXT2","APOH","NPNT","GRXCR2","PRSS56","PDCL2","KCNJ5","AC022809.1","SCGN"
"15","AC137590.1","SCYGR4","AC137735.1","CTXN3","AC099671.1","OR2V1","AC009597.1","TRABD2A","PDLIM1","DNAJC25-GNG10","FIBCD1","ABO","AC100802.1","CCR8","AL390718.1","ABCB6","MBIP","MBIP","AL731567.1","SP9","CCL26","TUBAL3","LRRC3","KCNK18","NTS","LRRC26"
"16","PPDPFL","TMEM89","AL356218.1","NEIL3","AL008719.1","JCHAIN","Z82198.2","KREMEN2","LINC00589","BARX2","AC108704.1","SLC15A5","AL354950.2","CLDN34","AC103808.6","DHH","STT3B","STT3B","AL358781.2","CYYR1","LINC00207","OSTN","TRBC2","PENK","SIX3","TAC3"
"17","AC134312.3","CISH","ODF2-AS1","XPNPEP2","AP001207.3","TEAD4","AP003066.1","AL049629.2","CLDN6","IQGAP3","AL357509.1","IQCF5","LINC02122","THEMIS","AC009652.1","TECRL","C19orf12","C19orf12","AC090618.1","SCUBE3","AC097468.3","WNT16","BLK","GAS2L2","AL024497.1","TRH"
"18","AC007998.4","USP17L10","AL590440.1","MRGPRF","LINC02540","HSD3B1","KLK12","PLA2G4D","PTGER1","NPSR1","AC009158.1","H2AFB3","LINC02185","PITX1","GOLGA8K","GOT1L1","SLC9A6","SLC9A6","ANKRD34B","SFRP2","LRRC38","CIB4","AL360268.1","OTOF","LINC00538","TM4SF5"
"19","LBHD2","SPINK1","CLEC6A","C6orf141","SH3BP1","RFX6","AC079098.1","C8B","AC092535.4","IL18RAP","AC021066.1","BORCS8","AC073288.2","SLC52A3","PROK2","ACE2","AC123595.1","MFSD8","AL391361.2","PTHLH","OR51E2","MTRNR2L1","AL353803.1","EDNRA","LINC02488","WNT4"
"20","C1orf116","OR2Y1","FAM187B","TP53TG3D","TCN1","AC233992.2","AC016687.2","BX276092.9","AC034226.1","TAF1L","AC006042.1","TSKU","AL591543.1","BHMT","AF287957.1","PTGDR2","MFSD8","TMED4","AL136980.1","NECTIN4","CKM","LY6G5B","TTC39A-AS1","FRMD7","LINC00314","CBLN1"
