"","Astro","Astro_pt","Inhib.1","Inhib.1_pt","Inhib.2","Inhib.2_pt","Inhib.3","Inhib.3_pt","Inhib.4","Inhib.4_pt","Micro","Micro_pt","MSN.D1.1","MSN.D1.1_pt","MSN.D1.2","MSN.D1.2_pt","MSN.D1.3","MSN.D1.3_pt","MSN.D1.4","MSN.D1.4_pt","MSN.D2.1","MSN.D2.1_pt","MSN.D2.2","MSN.D2.2_pt","Oligo","Oligo_pt","OPC","OPC_pt"
"1","FEZF1","FEZF1","AC005837.1","NPY","LINC00683","NDUFB6","EXOC1L","EXOC1L","CER1","CER1","SUCNR1","SUCNR1","CAPSL","CAPSL","TMEM131","TMEM131","AC099793.1","XDH","AF240627.1","OR51E2","AC087321.1","TH","AC093534.2","SDR16C5","FFAR1","FFAR1","AL021026.1","CPXM1"
"2","KCNJ8","KCNJ8","NPY","PNOC","NDUFB6","PPP3CB","LMO7DN","LMO7DN","TRH","TRH","FCGR2B","FCGR2B","AL592435.1","C15orf62","LINC01282","EBF1","LINC01735","GPR26","AL033527.2","IL17C","LINP1","ATP10A","SDR16C5","TMPRSS13","FCRLA","FCRLA","CPXM1","DCAF4L2"
"3","AC109439.2","RASL12","PNOC","ST6GALNAC2","PPP3CB","SLC5A7","LINC01885","SP5","RORC","RORC","HHEX","HHEX","C15orf62","HBD","EBF1","UMODL1","TRPC7-AS1","LRRC55","AC011228.1","DLX4","LINC00707","C3orf52","AC008805.2","IL22RA1","NGFR","NGFR","DCAF4L2","KCNG4"
"4","RASL12","TFAP2C","ST6GALNAC2","SST","SLC5A7","SP8","AP003555.3","OR2I1P","LINC02203_ENSG00000280709","CHRNA3","AP000439.3","MPEG1","AP003472.2","CCIN","UMODL1","PCDHB1","XDH","RXFP1","OR51E2","CAVIN3","LINC01687","TTN","LINC02417","APOA2","AC008060.1","TMEM88B","KCNG4","TM4SF1"
"5","TFAP2C","GLI1","SST","HDAC4","SP8","BMP3","SP5","PTHLH","LINC01443","NPR3","MPEG1","LILRA4","LINC01850","SHISA8","PCDHB1","DIO3","GPR26","LECT2","AC078905.1","MINDY4B","LINC02218","MROH2A","AC004941.1","C2CD4B","TMEM88B","IFNA2","TM4SF1","KLF17"
"6","GLI1","PRODH","HDAC4","FBN2","LIPE-AS1","ACBD6","AC004936.1","PLSCR5","CHRNA3","COL2A1","LILRA4","SERPINA1","AL163973.2","SCGB1D4","AL831784.1","DWORF","Z82188.2","CCDC172","LINC02131","MCIDAS","TH","TNNT3","AL133153.2","FOXH1","IFNA2","GPIHBP1","AC104051.2","NR0B1"
"7","AC008556.1","S1PR1","TMEM108-AS1","KRTAP5-10","BMP3","ACAT1","LINC01655","KMO","NPR3","GLP1R","SERPINA1","TAL1","AL121718.1","FOXD4L4","DIO3","TAF1L","AC073626.1","CASZ1","IL17C","MSLNL","AC083902.1","C4orf54","LINC01865","ALKAL2","AC073342.2","AC034102.2","LINC00517","FMO3"
"8","PRODH","TMPRSS3","FBN2","DDC","ACBD6","FCRL4","LINC02257","DOK7","AC027228.2","CBLN1","LINC01736","VSIG4","AP003390.1","NPFFR2","DWORF","PDCD1","AL355870.1","FGF10","AC011995.1","CDH17","AC091096.2","HTR7","AC105393.2","RAX2","AC083862.2","HOXD1","KLF17","TIMP4"
"9","S1PR1","SLC2A4","KRTAP5-10","NOS1","ACAT1","VIP","AC092376.2","TBX1","COL2A1","TAC3","TAL1","GAPT","LINC01666","GABRQ","TAF1L","MAT1A","AC007953.2","TMEM26","AL035706.1","PABPN1L","AC128688.2","GOLGA8G","LINC02263","CD164L2","AC082651.1","LYRM9","AC008742.1","GPR17"
"10","AC008250.1","IGFN1","AL451164.1","DRD5","FCRL4","SPTLC1","AP003555.1","AC025263.2","GLP1R","COL13A1","VSIG4","GIMAP7","VIM-AS1","GOLGA8J","PDCD1","NCOA1","AL162457.1","MUC19","ADAMTS19-AS1","SBSN","LINC00881","HAPLN3","AL359762.2","OR10G3","LINC01445","OR9A2","NR0B1","CYP2A13"
"11","FEZF1-AS1","IL33","AL133343.2","SLC27A6","VIP","FRMD7","AC011472.4","TMEM233","LINC01193","RERGL","GAPT","NCF4","HBD","ODAM","AC005538.1","ASPG","AC093714.2","PDYN","KIRREL3-AS3","CIDEA","LINC01510","GPR6","AC007349.3","ALOX15","KCNQ1DN","TMEM125","FMO3","EMILIN3"
"12","TMPRSS3","FXYD3","DDC","GPR156","SPTLC1","CDC5L","OR2I1P","PRSS12","LINC01858","FOLR1","GIMAP7","CEBPE","CCIN","RPRM","AC124068.2","TTC34","LINC00698","CELA3B","DLX4","AC135178.2","AC005482.1","ILDR1","AC110760.2","CDX1","GPIHBP1","IL26","TIMP4","CSPG4"
"13","SLC2A4","ACKR3","NOS1","TLL2","FRMD7","ECEL1","PTHLH","FCRLB","CBLN1","HSPB3","NCF4","CD300C","SHISA8","MCOLN3","MAT1A","GIMAP5","AC022126.1","SMIM32","CAVIN3","UCMA","AC076968.1","LOXHD1","LINC02446","TMPRSS6","SEMA3B-AS1","IFNA13","GPR17","BGN"
"14","ATP13A4-AS1","EMX2","DRD5","PCDH18","CDC5L","TTC37","LINC01976","DKK1","LINC01561","PLCZ1","CEBPE","CCR1","AL133387.2","ARMH2","NCOA1","RXFP2","AL139423.1","PKHD1L1","LINC01522","OR2T10","DDR1-DT","MUC2","AC027801.3","ZBP1","AC034102.2","S1PR5","CYP2A13","GDF6"
"15","LINC00982","MT1G","SLC27A6","GDPD2","ECEL1","CDK14","LINC02552","IL1RAPL2","AC025284.1","CLDN3","CD300C","LILRB2","SCGB1D4","ABCB11","AL137804.1","SGCG","TMEM26-AS1","CRHR2","MINDY4B","AQP9","AC138646.1","ENPEP","LINC01729","ADORA2A","FAM225A","FFAR3","EMILIN3","HMX1"
"16","AC087241.1","GJB2","GPR156","ZDHHC20","TTC37","TNS4","PLSCR5","HTR3A","TAC3","NANOS1","CCR1","RGS18","FOXD4L4","MTRNR2L6","ASPG","TMEM117","LRRC55","INMT-MINDY4","AC003985.2","ZBED2","ATP10A","EBLN1","AL352977.2","FAM9C","HAGLR","IFNA6","CSPG4","TTC16"
"17","LINC00500","PYGM","DNM1P35","ANO10","CDK14","KCNH5","AC108861.1","NR5A2","AL096799.1","OR4N2","LILRB2","LYL1","LINC00602","RLN2","TTC34","EIPR1","RXFP1","C4orf54","MCIDAS","MS4A18","C3orf52","RDH10","TMPRSS13","ANKS4B","AC021915.1","AC134669.1","AC131097.3","SOX3"
"18","IGFN1","ZIC5","TLL2","CRHR2","TNS4","ZRANB2","KMO","PRLHR","COL13A1","C8orf58","RGS18","C1QA","NPFFR2","SSTR3","GIMAP5","FAM19A1","LECT2","TGFBI","MSLNL","CFB","AC139718.1","CLMP","AC106820.3","REELD1","LINC01222","KLK6","BGN","NEU4"
"19","AC011747.2","CYP4F11","PCDH18","IL17RD","KCNH5","SULF1","DOK7","TCIM","RERGL","PIRT","AC098679.1","FOLR2","GABRQ","GABRE","NMBR-AS1","SGCA","AC092590.1","CCNA1","AC011365.1","PATE4","TTN","HPGD","AC008662.1","NEK2","AC084149.1","CDC20","GDF6","ASB5"
"20","IL33","SDC4","GDPD2","AFF2","ZRANB2","DNAJC22","LINC01705","PDGFD","AC092652.1","NTS","AC215217.1","RGS1","AC079150.1","TMEM200A","AC244517.9","HGF","CCDC172","FAM110C","LINC01181","CYP27B1","MROH2A","TMEM255B","LINC01621","AC120114.5","HOXD1","SMIM6","HMX1","CCKAR"
