"Astro_1vAll","Astro_pw","Excit.1_1vAll","Excit.1_pw","Excit.2_1vAll","Excit.2_pw","Excit.3_1vAll","Excit.3_pw","Excit.4_1vAll","Excit.4_pw","Inhib.1_1vAll","Inhib.1_pw","Inhib.2_1vAll","Inhib.2_pw","Micro_1vAll","Micro_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_pw"
"RNF219-AS1","RNF219-AS1","CBLN2","CBLN2","AC073578.2","AC073578.2","SULF1","SULF1","FER1L6-AS2","HTR2C","LHX6","LHX6","PKP2","DLX6-AS1","DOCK8","DOCK8","ST18","ST18","AC004852.2","AC004852.2"
"ADGRV1","ADGRV1","AC008574.1","ADAMTS3","IL1RAPL2","IL1RAPL2","ADAMTSL1","DCHS2","HTR2C","FER1L6-AS2","ANK1","ELAVL2","DLX6-AS1","PKP2","APBB1IP","APBB1IP","CTNNA3","RNF220","STK32A","VCAN"
"BMPR1B","BMPR1B","TESPA1","LAMB1","HS3ST2","AC073365.1","ABO","ANKRD62","LINC02218","LINC02218","AL445623.2","AL445623.2","ARL4C","ARL4C","INPP5D","INPP5D","RNF220","MBP","MEGF11","MEGF11"
"GLI3","GLI3","ADAMTS3","AC008574.1","AC008415.1","TRABD2A","AC046195.1","SYNPO2","MROH2A","MROH2A","RAB3B","MYO5B","NR2F2-AS1","CCK","ADAM28","ADAM28","PLP1","CTNNA3","VCAN","STK32A"
"AC002429.2","AC002429.2","CDH22","TESPA1","AC109466.1","LINC01202","SEMA3E","DPP4","ERG","ADAMTS12","ELAVL2","ANK1","CALB2","NR2F2-AS1","CSF1R","CSF1R","MBP","PLP1","MYT1","TNR"
"RANBP3L","ATP1A2","CNGB1","FAM163A","AC073365.1","TDO2","LINC02082","AC046195.1","CDCP1","AC018554.1","GRIP2","OPRD1","SLC35F4","SLC35F4","P2RY12","P2RY12","ENPP2","DOCK5","COL9A1","MYT1"
"PRDM16","RANBP3L","LINC01250","TTC6","TRABD2A","DNAJC5G","ADTRP","VWA3A","AC018554.1","IFNG-AS1","MYO5B","CACNA2D2","FGD5","LAMA3","SLCO2B1","SLCO2B1","PLEKHH1","ENPP2","LHFPL3","PDGFRA"
"EFEMP1","PRDM16","AC011287.1","ENC1","CPNE4","CCDC68","SYNPO2","ADAMTSL1","ITGA8","CDCP1","CACNA2D2","ARX","TACR1","FGD5","FYB1","FYB1","TF","SLC44A1","PDGFRA","PTPRZ1"
"ETNPPL","NHSL1","LAMB1","CDH12","LINC01202","OTOGL","VWA3A","ABCB1","ADAMTS12","QRFPR","ARX","AC010127.1","CCK","TACR1","TBXAS1","AC008691.1","MOBP","FRMD4B","FERMT1","SULF2"
"PAMR1","EFEMP1","ENC1","LINC01378","RXFP1","TRIM54","AP000943.3","SEC24D","GRM4","ITGA8","GAD2","SIAH3","CRH","RGS8","SYK","SYK","SLC44A1","KCNH8","NTN1","NTN1"
"ATP1A2","PAMR1","LY86-AS1","GLRA3","TSHZ2","CCDC144NL-AS1","ANKRD62","TSPAN18","QRFPR","AL161782.1","NXPH1","TRPC4","LAMA3","CXCL14","AC008691.1","TBXAS1","DOCK5","PLEKHH1","GALR1","PCDH15"
"COL5A3","SLC4A4","GLRA3","CUX2","TDO2","AC008415.1","DCHS2","GLIS1","FER1L6-AS1","CCDC80","KIAA1217","PNOC","KIT","CRH","BLNK","BLNK","TMEM144","PIP4K2A","AFAP1L2","AFAP1L2"
"AQP4","ETNPPL","MLIP","LINC00507","FSTL4","GCNT1","HS3ST4","RASGRP1","AL161782.1","CHRM2","GAD1","PAWR","ADARB2","KIT","FLI1","DOCK2","AC026316.5","TF","AC124254.1","GALR1"
"STON2","STON2","LINC01378","LINC00390","NWD2","COBLL1","KIAA1217","AP000943.3","IFNG-AS1","PCP4","BTBD11","HUNK","NRIP3","SCG2","DOCK2","FLI1","MOG","QKI","LINC02588","FERMT1"
"FGFR3","COL5A3","FAM163A","CDH22","DNAJC5G","SCHLAP1","NGEF","LINC02082","SAMD3","C3orf52","ZNF385D","TAC1","CXCL14","CALB2","LPAR6","ST6GAL1","CLMN","SHTN1","SULF2","SMOC1"
"SLC4A4","HIF3A","TTC6","LINC01250","SLC22A10","CPNE9","LINC02217","ABO","PCP4","LINC02107","GRIP1","SST","ENTPD3","CNR1","LY86","LPAR6","KCNH8","MOG","PTPRZ1","AC124254.1"
"NHSL1","RFX4","ACTN1","AC109779.1","CCDC68","AC109466.1","SEMA3A","RBM20","CDH6","SAMD3","KCNC2","RASGRF2-AS1","RGS8","KIRREL1","PALD1","PALD1","PIP4K2A","PHLPP1","AL445250.1","AL445250.1"
"RFX4","AQP4","AC067956.1","ITPKA","TRIM54","RORB-AS1","RASGRP1","ROBO2","C3orf52","CRYM","SIAH3","PAM","DLX1","KITLG","C3","LY86","POLR2F","MOBP","LUZP2","LINC01965"
"SLC1A2","ARHGEF26","SLIT3","CNGB1","NRG1","AC069120.1","DPP4","GALNT16","CHRM2","FER1L6-AS1","PAM","RASGRF2","ANO1","ANO1","CX3CR1","C3","FRMD4B","FA2H","LINC01965","CSPG4"
"SLCO1C1","RGS20","LYPD8","AP005328.1","OTOGL","LINC02254","RXFP1","ADTRP","CCDC80","ERG","AC010127.1","KCNS3","KIRREL1","ADARB2","CSF2RA","CX3CR1","UGT8","GAB1","CSPG4","LRRN1"
"RGS20","FGFR3","KIAA1211L","SLC24A4","RORB","TCERG1L","DIRAS2","PCSK5","CRYM","GRM4","GRIK3","VSTM2L","GAD2","THSD7B","AP003481.1","LRMDA","CERCAM","UGT8","SEMA5A","BCAN"
"ARHGEF26","GLIS3","CDH12","LYPD8","ADAMTS16","CEMIP","LINC01811","NRP1","LINC02107","LINC01885","TRPC4","CRYBG1","CNR1","DLX1","PTPRC","CSF2RA","C10orf90","AC026316.5","PCDH15","LINC02588"
"FAM189A2","SLC1A2","AC007563.2","AC069133.1","SLC6A7","FSTL4","HCRTR2","PCDH11X","COL12A1","NR4A3","TENM1","PTPRM","SCG2","NRIP3","A2M","AP003481.1","ABCA8","C10orf90","TNR","CACNG4"
"YAP1","FAM189A2","KIAA2012","GLP2R","ANO3","SLC6A7","GLIS1","MCTP1","CD36","DAPL1","NHS","MARCH11","IGF1","PCDH8","MYO1F","PTPRC","FA2H","EDIL3","SMOC1","LINC00511"
"SLC7A11","PITPNC1","KCNG3","KCNG3","GABRA5","AC246817.1","RBM20","NGEF","LINC01885","CD36","SNRPN","TENM3","KITLG","PROX1","PIK3R5","MYO1F","SLCO1A2","CERCAM","MIR3681HG","CACNG5"
"PAPLN","SLCO1C1","LZTS1","AL136985.3","DLGAP1-AS4","POU6F2","SEC24D","B3GLCT","FEZF2","CLIC5","OPRD1","NTN4","GAD1","LYPD6B","IKZF1","A2M","LINC01608","DOCK10","CALCRL","SEMA5A"
"SLC25A18","EYA2","LINC00507","AC138904.3","TCERG1L","SLC30A3","MSC-AS1","CEMIP2","SEMA3E","COL12A1","CDH9","CRHBP","NHS","IGF1","ATP8B4","PIK3R5","FOLH1","LPAR1","LINC00511","CA10"
"SPON1","SLC25A18","LINC00390","LINC01197","HTR2A","DNAH6","LINC01776","LINC02217","NR4A3","CYP26B1","MARCH11","KCNC2","ANKRD55","AP1S2","CPED1","IKZF1","PXK","DAAM2","LRRN1","ARHGAP42"
"HIF3A","SLC7A11","ZNF831","CA4","OCA2","AC084816.1","SDK2","SEMA3A","DIRAS2","AC022387.1","HUNK","ADCY8","THSD7B","RGS12","SAMSN1","ATP8B4","PRUNE2","POLR2F","CA10","NTNG1"
"MRVI1","PAPLN","AC019211.1","FAM19A1","NELL2","GABRA5","SLIT3","ZFPM2","CLIC5","CDH6","OSBPL10","AC027288.3","GRIP2","SYNPR","WDFY4","ARHGAP24","TMEM165","LINC01608","CACNG4","ZEB1"
"EYA1","YAP1","GRM1","NHSL2","CLSTN2","ADAMTS16","GALNT16","AQP4-AS1","TLL1","AC034226.1","NTN4","AC098864.1","C8orf34","THSD7A","LYN","CPED1","FRYL","ABCA8","CACNG5","AP005433.1"
"GLIS3","EYA1","AC138904.3","PPP4R4","SLC17A7","SLC22A10","LINC01793","PTK7","FAM160A1","MYOCD","FLT3","RAB3B","SYNPR","INHBA-AS1","RHBDF2","SAMSN1","SLC24A2","SLCO1A2","TEK","PXDN"
"EMX2OS","LINC00299","CUX2","AJ009632.2","CCDC144NL-AS1","FAM189A1","HS3ST2","MSC-AS1","TSHZ2","TLL1","VSTM2L","FBLN7","FGF13","AC079296.1","RBM47","LYN","SHTN1","SHROOM4","SPRY4","LHFPL3"
"TPD52L1","MRVI1","MCHR2","LINC02306","GCNT1","LINC01821","GALNT9","NOS1AP","NXPH2","MPP7","CPLX1","CDH9","KIAA1211","PDE3A","CD74","WDFY4","SIK3","CREB5","COL11A1","BCHE"
"LINC00299","CACHD1","CAMK2A","AC093607.1","SLIT1","ESR1","NPTX1","FRMPD4","CYP26B1","NXPH2","PTCHD4","EYS","AC079296.1","LRRC39","RGS10","CD74","COL4A5","PPP2R2B","BCAN","COL20A1"
"ACSS3","TPD52L1","SNED1","SYN3","KCNB2","CCDC3","AC107072.1","PRKAG2","DAPL1","EPS8L2","PNOC","NXPH1","VSTM2A","FGF13","ABCC4","RHBDF2","TTLL7","TMEM144","XYLT1","SPRY4"
"PDGFRB","EMX2OS","NHSL2","AC011287.1","DNAH6","NWD2","EPHA5","AC107072.1","VWC2L","VWC2L","GRIK1","CMTM8","FSTL5","ERBB4","ST6GAL1","ARHGAP15","LPAR1","ERBIN","COL20A1","PLEKHH2"
"SLC14A1","PHF21B","NGEF","KCNG1","SCHLAP1","LINC01830","PTK7","B4GALNT3","MPP7","NPSR1","SAMD5","KCNC1","SLC32A1","LYPD6","FGD2","RGS10","PDE8A","CLMN","TMEM163","IL1RAP"
"SHROOM3","PDGFRB","EPHA4","LINC01090","CCDC3","SYN2","BMPER","SEMA4A","SEMA5B","LINC00937","AL033504.1","MAFB","VWC2","SLCO5A1","RASGEF1C","CYFIP1","PCSK6","COL4A5","PRRX1","C1QL1"
"GNA14","SLC14A1","COL24A1","TESC","STX1A","AC018697.1","PCSK5","FRMD3","VWA2","PRR16","LRP8","KCNK3","LYPD6B","ARHGAP28","SP100","FGD2","SHROOM4","FOLH1","SEZ6L","ZNF462"
